Pathway,Gene
Mitochondrial ribosome,MRPS15
"Protein import, sorting and homeostasis",TIMM10B
OXPHOS,COX7C
OXPHOS subunits,NDUFA2
OXPHOS assembly factors,TIMM21
Complex I,NDUFV1
Metabolism,ALAS2
Carbohydrate metabolism,PDP2
Lipid metabolism,EPHX2
Amino acid metabolism,HMGCL
Metals and cofactors,GRPEL1
Small molecule transport,SLC25A37
Mitochondrial dynamics and surveillance,MICOS13
Mitochondrial central dogma,MGME1
mtRNA metabolism,TBRG4
Translation,MRPL3
Mitochondrial ribosome,MRPS16
"Protein import, sorting and homeostasis",TIMM13
OXPHOS,COX8A
OXPHOS subunits,NDUFA3
OXPHOS assembly factors,TIMMDC1
Complex I,NDUFV2
Metabolism,ALDH18A1
Carbohydrate metabolism,PDPR
Lipid metabolism,ETFA
Amino acid metabolism,HOGA1
Metals and cofactors,GRPEL2
Small molecule transport,SLC25A38
Mitochondrial dynamics and surveillance,MIEF1
Mitochondrial central dogma,MIEF1
mtRNA metabolism,TEFM
Translation,MRPL30
Mitochondrial ribosome,MRPS17
"Protein import, sorting and homeostasis",TIMM17A
OXPHOS,COX8C
OXPHOS subunits,NDUFA4
OXPHOS assembly factors,TMEM126A
Complex I,NDUFV3
Metabolism,ALDH1B1
Carbohydrate metabolism,RPIA
Lipid metabolism,ETFB
Amino acid metabolism,HSD17B10
Metals and cofactors,HCCS
Small molecule transport,SLC25A39
Mitochondrial dynamics and surveillance,MIEF2
Mitochondrial central dogma,MPV17L2
mtRNA metabolism,TFAM
Translation,MRPL32
Mitochondrial ribosome,MRPS18A
"Protein import, sorting and homeostasis",TIMM17B
OXPHOS,CYC1
OXPHOS subunits,NDUFA5
OXPHOS assembly factors,TMEM126B
Complex I,NUBPL
Metabolism,ALDH1L1
Carbohydrate metabolism,SDHA
Lipid metabolism,ETFDH
Amino acid metabolism,IVD
Metals and cofactors,HSCB
Small molecule transport,SLC25A4
Mitochondrial dynamics and surveillance,MIGA1
Mitochondrial central dogma,MRM1
mtRNA metabolism,TFB1M
Translation,MRPL33
Mitochondrial ribosome,MRPS18B
"Protein import, sorting and homeostasis",TIMM21
OXPHOS,CYCS
OXPHOS subunits,NDUFA6
OXPHOS assembly factors,TMEM177
Complex I,TIMMDC1
Metabolism,ALDH1L2
Carbohydrate metabolism,SDHB
Lipid metabolism,FABP1
Amino acid metabolism,KMO
Metals and cofactors,HSPA9
Small molecule transport,SLC25A40
Mitochondrial dynamics and surveillance,MIGA2
Mitochondrial central dogma,MRM2
mtRNA metabolism,TFB2M
Translation,MRPL34
Mitochondrial ribosome,MRPS18C
"Protein import, sorting and homeostasis",TIMM22
OXPHOS,DMAC1
OXPHOS subunits,NDUFA7
OXPHOS assembly factors,TMEM186
Complex I,TMEM126A
Metabolism,ALDH2
Carbohydrate metabolism,SDHC
Lipid metabolism,FASN
Amino acid metabolism,KYAT3
Metals and cofactors,IBA57
Small molecule transport,SLC25A41
Mitochondrial dynamics and surveillance,MTCH2
Mitochondrial central dogma,MRM3
mtRNA metabolism,THG1L
Translation,MRPL35
Mitochondrial ribosome,MRPS2
"Protein import, sorting and homeostasis",TIMM23
OXPHOS,DMAC2
OXPHOS subunits,NDUFA8
OXPHOS assembly factors,TMEM70
Complex I,TMEM126B
Metabolism,ALDH3A2
Carbohydrate metabolism,SDHD
Lipid metabolism,FDPS
Amino acid metabolism,LDHB
Metals and cofactors,ISCA1
Small molecule transport,SLC25A42
Mitochondrial dynamics and surveillance,MTFP1
Mitochondrial central dogma,MRPL1
mtRNA metabolism,TOP1MT
Translation,MRPL36
Mitochondrial ribosome,MRPS21
"Protein import, sorting and homeostasis",TIMM29
OXPHOS,DMAC2L
OXPHOS subunits,NDUFA9
OXPHOS assembly factors,TTC19
Complex I,TMEM186
Metabolism,ALDH4A1
Carbohydrate metabolism,SFXN5
Lipid metabolism,FDX1
Amino acid metabolism,MAOA
Metals and cofactors,ISCA2
Small molecule transport,SLC25A43
Mitochondrial dynamics and surveillance,MTFR1
Mitochondrial central dogma,MRPL10
mtRNA metabolism,TRIT1
Translation,MRPL37
Mitochondrial ribosome,MRPS22
"Protein import, sorting and homeostasis",TIMM44
OXPHOS,ECSIT
OXPHOS subunits,NDUFAB1
OXPHOS assembly factors,UQCC1
Complex I,TMEM70
Metabolism,ALDH5A1
Carbohydrate metabolism,SLC25A1
Lipid metabolism,FDXR
Amino acid metabolism,MAOB
Metals and cofactors,ISCU
Small molecule transport,SLC25A44
Mitochondrial dynamics and surveillance,MTFR2
Mitochondrial central dogma,MRPL11
mtRNA metabolism,TRMT1
Translation,MRPL38
Mitochondrial ribosome,MRPS23
"Protein import, sorting and homeostasis",TIMM50
OXPHOS,FMC1
OXPHOS subunits,NDUFB1
OXPHOS assembly factors,UQCC2
Metabolism,ALDH6A1
Carbohydrate metabolism,SLC25A10
Lipid metabolism,GCSH
Amino acid metabolism,MCCC1
Metals and cofactors,KMO
Small molecule transport,SLC25A45
Mitochondrial dynamics and surveillance,MTX1
Mitochondrial central dogma,MRPL12
mtRNA metabolism,TRMT10C
Translation,MRPL39
Mitochondrial ribosome,MRPS24
"Protein import, sorting and homeostasis",TIMM8A
OXPHOS,FOXRED1
OXPHOS subunits,NDUFB10
OXPHOS assembly factors,UQCC3
Metabolism,ALDH7A1
Carbohydrate metabolism,SLC25A11
Lipid metabolism,GPAM
Amino acid metabolism,MCCC2
Metals and cofactors,KYAT3
Small molecule transport,SLC25A46
Mitochondrial dynamics and surveillance,MTX2
Mitochondrial central dogma,MRPL13
mtRNA metabolism,TRMT2B
Translation,MRPL4
Mitochondrial ribosome,MRPS25
"Protein import, sorting and homeostasis",TIMM8B
OXPHOS,HCCS
OXPHOS subunits,NDUFB11
Metabolism,ALDH9A1
Carbohydrate metabolism,SLC25A12
Lipid metabolism,GPAT2
Amino acid metabolism,NAGS
Metals and cofactors,LIAS
Small molecule transport,SLC25A47
Mitochondrial dynamics and surveillance,MTX3
Mitochondrial central dogma,MRPL14
mtRNA metabolism,TRMT5
Translation,MRPL40
Mitochondrial ribosome,MRPS26
"Protein import, sorting and homeostasis",TIMM9
OXPHOS,HIGD1A
OXPHOS subunits,NDUFB2
Metabolism,AMACR
Carbohydrate metabolism,SLC25A13
Lipid metabolism,HADH
Amino acid metabolism,NAT8L
Metals and cofactors,LYRM4
Small molecule transport,SLC25A48
Mitochondrial dynamics and surveillance,MUL1
Mitochondrial central dogma,MRPL15
mtRNA metabolism,TRMT61B
Translation,MRPL41
Mitochondrial ribosome,MRPS27
"Protein import, sorting and homeostasis",TOMM20
OXPHOS,HIGD2A
OXPHOS subunits,NDUFB3
Metabolism,AMT
Carbohydrate metabolism,SUCLA2
Lipid metabolism,HADHA
Amino acid metabolism,OAT
Metals and cofactors,MOCS1
Small molecule transport,SLC25A5
Mitochondrial dynamics and surveillance,MYO19
Mitochondrial central dogma,MRPL16
mtRNA metabolism,TRMU
Translation,MRPL42
Mitochondrial ribosome,MRPS28
"Protein import, sorting and homeostasis",TOMM20L
OXPHOS,LYRM2
OXPHOS subunits,NDUFB4
Metabolism,ANTKMT
Carbohydrate metabolism,SUCLG1
Lipid metabolism,HADHB
Amino acid metabolism,OTC
Metals and cofactors,MT-CO1
Small molecule transport,SLC25A51
Mitochondrial dynamics and surveillance,NBR1
Mitochondrial central dogma,MRPL17
mtRNA metabolism,TRNT1
Translation,MRPL43
Mitochondrial ribosome,MRPS30
"Protein import, sorting and homeostasis",TOMM22
OXPHOS,LYRM7
OXPHOS subunits,NDUFB5
Metabolism,ARG2
Carbohydrate metabolism,SUCLG2
Lipid metabolism,HAO2
Amino acid metabolism,PPM1K
Metals and cofactors,MT-CYB
Small molecule transport,SLC25A52
Mitochondrial dynamics and surveillance,NIPSNAP1
Mitochondrial central dogma,MRPL18
mtRNA metabolism,TRUB2
Translation,MRPL44
Mitochondrial ribosome,MRPS31
"Protein import, sorting and homeostasis",TOMM34
OXPHOS,MT-ATP6
OXPHOS subunits,NDUFB6
Metabolism,AUH
Lipid metabolism,HINT2
Amino acid metabolism,PRODH
Metals and cofactors,MTARC1
Small molecule transport,SLC25A53
Mitochondrial dynamics and surveillance,NIPSNAP2
Mitochondrial central dogma,MRPL19
mtRNA metabolism,YBEY
Translation,MRPL45
Mitochondrial ribosome,MRPS33
"Protein import, sorting and homeostasis",TOMM40
OXPHOS,MT-ATP8
OXPHOS subunits,NDUFB7
Metabolism,BCAT2
Lipid metabolism,HSD17B10
Amino acid metabolism,PRODH2
Metals and cofactors,MTARC2
Small molecule transport,SLC25A6
Mitochondrial dynamics and surveillance,OMA1
Mitochondrial central dogma,MRPL2
mtRNA metabolism,YRDC
Translation,MRPL46
Mitochondrial ribosome,MRPS34
"Protein import, sorting and homeostasis",TOMM40L
OXPHOS,MT-CO1
OXPHOS subunits,NDUFB8
Metabolism,BCKDHA
Lipid metabolism,HSD17B4
Amino acid metabolism,PYCR1
Metals and cofactors,NADK2
Small molecule transport,SLC30A9
Mitochondrial dynamics and surveillance,OPA1
Mitochondrial central dogma,MRPL20
Translation,MRPL47
Mitochondrial ribosome,MRPS35
"Protein import, sorting and homeostasis",TOMM5
OXPHOS,MT-CO2
OXPHOS subunits,NDUFB9
Metabolism,BCKDHB
Lipid metabolism,HSD17B8
Amino acid metabolism,PYCR2
Metals and cofactors,NAXD
Small molecule transport,SLC8B1
Mitochondrial dynamics and surveillance,PARK7
Mitochondrial central dogma,MRPL21
Translation,MRPL48
Mitochondrial ribosome,MRPS36
"Protein import, sorting and homeostasis",TOMM6
OXPHOS,MT-CO3
OXPHOS subunits,NDUFC1
Metabolism,BCKDK
Lipid metabolism,HTD2
Amino acid metabolism,SARDH
Metals and cofactors,NAXE
Small molecule transport,SMDT1
Mitochondrial dynamics and surveillance,PARL
Mitochondrial central dogma,MRPL22
Translation,MRPL49
Mitochondrial ribosome,MRPS5
"Protein import, sorting and homeostasis",TOMM7
OXPHOS,MT-CYB
OXPHOS subunits,NDUFC2
Metabolism,BCO2
Lipid metabolism,IDI1
Amino acid metabolism,SDSL
Metals and cofactors,NDUFAB1
Small molecule transport,STARD7
Mitochondrial dynamics and surveillance,PGAM5
Mitochondrial central dogma,MRPL23
Translation,MRPL50
Mitochondrial ribosome,MRPS6
"Protein import, sorting and homeostasis",TOMM70
OXPHOS,MT-ND1
OXPHOS subunits,NDUFS1
Metabolism,BDH1
Lipid metabolism,LACTB
Amino acid metabolism,SFXN1
Metals and cofactors,NDUFS1
Small molecule transport,UCP1
Mitochondrial dynamics and surveillance,PIGBOS1
Mitochondrial central dogma,MRPL24
Translation,MRPL51
Mitochondrial ribosome,MRPS7
"Protein import, sorting and homeostasis",TRAP1
OXPHOS,MT-ND2
OXPHOS subunits,NDUFS2
Metabolism,BOLA1
Lipid metabolism,LIAS
Amino acid metabolism,SFXN3
Metals and cofactors,NDUFS2
Small molecule transport,UCP2
Mitochondrial dynamics and surveillance,PINK1
Mitochondrial central dogma,MRPL27
Translation,MRPL52
Mitochondrial ribosome,MRPS9
"Protein import, sorting and homeostasis",UQCRC1
OXPHOS,MT-ND3
OXPHOS subunits,NDUFS3
Metabolism,BOLA3
Lipid metabolism,LIPT1
Amino acid metabolism,SHMT2
Metals and cofactors,NDUFS7
Small molecule transport,UCP3
Mitochondrial dynamics and surveillance,PLD6
Mitochondrial central dogma,MRPL28
Translation,MRPL53
Mitochondrial ribosome,PTCD3
"Protein import, sorting and homeostasis",UQCRC2
OXPHOS,MT-ND4
OXPHOS subunits,NDUFS4
Metabolism,BPHL
Lipid metabolism,LIPT2
Amino acid metabolism,SLC25A12
Metals and cofactors,NDUFS8
Small molecule transport,VDAC1
Mitochondrial dynamics and surveillance,PMAIP1
Mitochondrial central dogma,MRPL3
Translation,MRPL54
"Protein import, sorting and homeostasis",USP30
OXPHOS,MT-ND4L
OXPHOS subunits,NDUFS5
Metabolism,CA5A
Lipid metabolism,LYPLA1
Amino acid metabolism,SLC25A13
Metals and cofactors,NDUFV1
Small molecule transport,VDAC2
Mitochondrial dynamics and surveillance,PRKN
Mitochondrial central dogma,MRPL30
Translation,MRPL55
"Protein import, sorting and homeostasis",XPNPEP3
OXPHOS,MT-ND5
OXPHOS subunits,NDUFS6
Metabolism,CA5B
Lipid metabolism,LYPLAL1
Amino acid metabolism,SLC25A15
Metals and cofactors,NDUFV2
Small molecule transport,VDAC3
Mitochondrial dynamics and surveillance,RAB24
Mitochondrial central dogma,MRPL32
Translation,MRPL57
"Protein import, sorting and homeostasis",YME1L1
OXPHOS,MT-ND6
OXPHOS subunits,NDUFS7
Metabolism,CAT
Lipid metabolism,MCAT
Amino acid metabolism,SLC25A21
Metals and cofactors,NFS1
Mitochondrial dynamics and surveillance,RHOT1
Mitochondrial central dogma,MRPL33
Translation,MRPL58
OXPHOS,NDUFA1
OXPHOS subunits,NDUFS8
Metabolism,CBR3
Lipid metabolism,MCEE
Amino acid metabolism,SLC25A29
Metals and cofactors,NFU1
Mitochondrial dynamics and surveillance,RHOT2
Mitochondrial central dogma,MRPL34
Translation,MRPL9
OXPHOS,NDUFA10
OXPHOS subunits,NDUFV1
Metabolism,CBR4
Lipid metabolism,MECR
Amino acid metabolism,SLC25A38
Metals and cofactors,NMNAT3
Mitochondrial dynamics and surveillance,RMDN3
Mitochondrial central dogma,MRPL35
Translation,MRPS10
OXPHOS,NDUFA11
OXPHOS subunits,NDUFV2
Metabolism,CHCHD7
Lipid metabolism,MGST3
Amino acid metabolism,SLC25A44
Metals and cofactors,NNT
Mitochondrial dynamics and surveillance,RTL10
Mitochondrial central dogma,MRPL36
Translation,MRPS11
OXPHOS,NDUFA12
OXPHOS subunits,NDUFV3
Metabolism,CHDH
Lipid metabolism,MLYCD
Amino acid metabolism,SUGCT
Metals and cofactors,NOCT
Mitochondrial dynamics and surveillance,SAMM50
Mitochondrial central dogma,MRPL37
Translation,MRPS12
OXPHOS,NDUFA13
OXPHOS subunits,SDHA
Metabolism,CHPT1
Lipid metabolism,MMUT
Metals and cofactors,NTHL1
Mitochondrial dynamics and surveillance,SEPTIN4
Mitochondrial central dogma,MRPL38
Translation,MRPS14
OXPHOS,NDUFA2
OXPHOS subunits,SDHB
Metabolism,CISD1
Lipid metabolism,NDUFAB1
Metals and cofactors,NUBPL
Mitochondrial dynamics and surveillance,SLC25A46
Mitochondrial central dogma,MRPL39
Translation,MRPS15
OXPHOS,NDUFA3
OXPHOS subunits,SDHC
Metabolism,CISD3
Lipid metabolism,OSBPL1A
Metals and cofactors,NUDT13
Mitochondrial dynamics and surveillance,SNAP29
Mitochondrial central dogma,MRPL4
Translation,MRPS16
OXPHOS,NDUFA4
OXPHOS subunits,SDHD
Metabolism,CKMT1A
Lipid metabolism,OXSM
Metals and cofactors,NUDT19
Mitochondrial dynamics and surveillance,SPHK2
Mitochondrial central dogma,MRPL40
Translation,MRPS17
OXPHOS,NDUFA5
OXPHOS subunits,UQCR10
Metabolism,CKMT1B
Lipid metabolism,PCCA
Metals and cofactors,NUDT8
Mitochondrial dynamics and surveillance,SPIRE1
Mitochondrial central dogma,MRPL41
Translation,MRPS18A
OXPHOS,NDUFA6
OXPHOS subunits,UQCR11
Metabolism,CKMT2
Lipid metabolism,PCCB
Metals and cofactors,PANK2
Mitochondrial dynamics and surveillance,STX17
Mitochondrial central dogma,MRPL42
Translation,MRPS18B
OXPHOS,NDUFA7
OXPHOS subunits,UQCRB
Metabolism,CLYBL
Lipid metabolism,PGS1
Metals and cofactors,PCBD2
Mitochondrial dynamics and surveillance,STYXL1
Mitochondrial central dogma,MRPL43
Translation,MRPS18C
OXPHOS,NDUFA8
OXPHOS subunits,UQCRC1
Metabolism,CMPK2
Lipid metabolism,PHYH
Metals and cofactors,PDSS1
Mitochondrial dynamics and surveillance,SYNJ2BP
Mitochondrial central dogma,MRPL44
Translation,MRPS2
OXPHOS,NDUFA9
OXPHOS subunits,UQCRC2
Metabolism,COASY
Lipid metabolism,PISD
Metals and cofactors,PDSS2
Mitochondrial dynamics and surveillance,TMEM11
Mitochondrial central dogma,MRPL45
Translation,MRPS21
OXPHOS,NDUFAB1
OXPHOS subunits,UQCRFS1
Metabolism,COMT
Lipid metabolism,PLD6
Metals and cofactors,PPOX
Mitochondrial dynamics and surveillance,TOMM20
Mitochondrial central dogma,MRPL46
Translation,MRPS22
OXPHOS,NDUFAF1
OXPHOS subunits,UQCRH
Metabolism,COQ10A
Lipid metabolism,PLSCR3
Metals and cofactors,QDPR
Mitochondrial dynamics and surveillance,TOMM7
Mitochondrial central dogma,MRPL47
Translation,MRPS23
OXPHOS,NDUFAF2
OXPHOS subunits,UQCRQ
Metabolism,COQ10B
Lipid metabolism,PNPLA8
Metals and cofactors,RSAD1
Mitochondrial dynamics and surveillance,USP30
Mitochondrial central dogma,MRPL48
Translation,MRPS24
OXPHOS,NDUFAF3
Metabolism,COQ2
Lipid metabolism,PRDX6
Metals and cofactors,SCO1
Mitochondrial dynamics and surveillance,VDAC1
Mitochondrial central dogma,MRPL49
Translation,MRPS25
OXPHOS,NDUFAF4
Metabolism,COQ3
Lipid metabolism,PRELID1
Metals and cofactors,SCO2
Mitochondrial dynamics and surveillance,VPS13D
Mitochondrial central dogma,MRPL50
Translation,MRPS26
OXPHOS,NDUFAF5
Metabolism,COQ4
Lipid metabolism,PRELID3A
Metals and cofactors,SDHB
Mitochondrial central dogma,MRPL51
Translation,MRPS27
OXPHOS,NDUFAF6
Metabolism,COQ5
Lipid metabolism,PRELID3B
Metals and cofactors,SDHC
Mitochondrial central dogma,MRPL52
Translation,MRPS28
OXPHOS,NDUFAF7
Metabolism,COQ6
Lipid metabolism,PTGES2
Metals and cofactors,SDHD
Mitochondrial central dogma,MRPL53
Translation,MRPS30
OXPHOS,NDUFAF8
Metabolism,COQ7
Lipid metabolism,PTPMT1
Metals and cofactors,SIRT3
Mitochondrial central dogma,MRPL54
Translation,MRPS31
OXPHOS,NDUFB1
Metabolism,COQ8A
Lipid metabolism,SCP2
Metals and cofactors,SIRT4
Mitochondrial central dogma,MRPL55
Translation,MRPS33
OXPHOS,NDUFB10
Metabolism,COQ8B
Lipid metabolism,SERAC1
Metals and cofactors,SIRT5
Mitochondrial central dogma,MRPL57
Translation,MRPS34
OXPHOS,NDUFB11
Metabolism,COQ9
Lipid metabolism,SLC25A1
Metals and cofactors,SLC25A20
Mitochondrial central dogma,MRPL58
Translation,MRPS35
OXPHOS,NDUFB2
Metabolism,COX10
Lipid metabolism,SLC25A20
Metals and cofactors,SLC25A28
Mitochondrial central dogma,MRPL9
Translation,MRPS36
OXPHOS,NDUFB3
Metabolism,COX11
Lipid metabolism,SPHK2
Metals and cofactors,SLC25A3
Mitochondrial central dogma,MRPS10
Translation,MRPS5
OXPHOS,NDUFB4
Metabolism,COX15
Lipid metabolism,SPTLC2
Metals and cofactors,SLC25A37
Mitochondrial central dogma,MRPS11
Translation,MRPS6
OXPHOS,NDUFB5
Metabolism,COX17
Lipid metabolism,STAR
Metals and cofactors,SLC25A38
Mitochondrial central dogma,MRPS12
Translation,MRPS7
OXPHOS,NDUFB6
Metabolism,COX19
Lipid metabolism,STARD7
Metals and cofactors,SLC25A42
Mitochondrial central dogma,MRPS14
Translation,MRPS9
OXPHOS,NDUFB7
Metabolism,CPOX
Lipid metabolism,TAMM41
Metals and cofactors,SLC25A51
Mitochondrial central dogma,MRPS15
Translation,MRRF
OXPHOS,NDUFB8
Metabolism,CPS1
Lipid metabolism,TAZ
Metals and cofactors,SLC25A52
Mitochondrial central dogma,MRPS16
Translation,MTERF3
OXPHOS,NDUFB9
Metabolism,CPT1A
Lipid metabolism,THEM4
Metals and cofactors,SPR
Mitochondrial central dogma,MRPS17
Translation,MTERF4
OXPHOS,NDUFC1
Metabolism,CPT1B
Lipid metabolism,THEM5
Metals and cofactors,SUOX
Mitochondrial central dogma,MRPS18A
Translation,MTFMT
OXPHOS,NDUFC2
Metabolism,CPT1C
Lipid metabolism,TRIAP1
Metals and cofactors,TMLHE
Mitochondrial central dogma,MRPS18B
Translation,MTG1
OXPHOS,NDUFS1
Metabolism,CPT2
Lipid metabolism,TSPO
Metals and cofactors,UQCRFS1
Mitochondrial central dogma,MRPS18C
Translation,MTG2
OXPHOS,NDUFS2
Metabolism,CRAT
Lipid metabolism,ZADH2
Mitochondrial central dogma,MRPS2
Translation,MTIF2
OXPHOS,NDUFS3
Metabolism,CRLS1
Mitochondrial central dogma,MRPS21
Translation,MTIF3
OXPHOS,NDUFS4
Metabolism,CROT
Mitochondrial central dogma,MRPS22
Translation,MTRES1
OXPHOS,NDUFS5
Metabolism,CS
Mitochondrial central dogma,MRPS23
Translation,MTRF1
OXPHOS,NDUFS6
Metabolism,CYB5B
Mitochondrial central dogma,MRPS24
Translation,MTRF1L
OXPHOS,NDUFS7
Metabolism,CYB5R3
Mitochondrial central dogma,MRPS25
Translation,NARS2
OXPHOS,NDUFS8
Metabolism,CYC1
Mitochondrial central dogma,MRPS26
Translation,NGRN
OXPHOS,NDUFV1
Metabolism,CYCS
Mitochondrial central dogma,MRPS27
Translation,NOA1
OXPHOS,NDUFV2
Metabolism,CYP11A1
Mitochondrial central dogma,MRPS28
Translation,NSUN4
OXPHOS,NDUFV3
Metabolism,CYP11B1
Mitochondrial central dogma,MRPS30
Translation,OXA1L
OXPHOS,NUBPL
Metabolism,CYP11B2
Mitochondrial central dogma,MRPS31
Translation,PARS2
OXPHOS,PET100
Metabolism,CYP24A1
Mitochondrial central dogma,MRPS33
Translation,PDF
OXPHOS,PET117
Metabolism,CYP27A1
Mitochondrial central dogma,MRPS34
Translation,PPA2
OXPHOS,PNKD
Metabolism,CYP27B1
Mitochondrial central dogma,MRPS35
Translation,PTCD3
OXPHOS,RAB5IF
Metabolism,D2HGDH
Mitochondrial central dogma,MRPS36
Translation,PUSL1
OXPHOS,SCO1
Metabolism,DBI
Mitochondrial central dogma,MRPS5
Translation,QRSL1
OXPHOS,SCO2
Metabolism,DBT
Mitochondrial central dogma,MRPS6
Translation,RARS2
OXPHOS,SDHA
Metabolism,DCXR
Mitochondrial central dogma,MRPS7
Translation,RBFA
OXPHOS,SDHAF1
Metabolism,DECR1
Mitochondrial central dogma,MRPS9
Translation,RMND1
OXPHOS,SDHAF2
Metabolism,DGLUCY
Mitochondrial central dogma,MRRF
Translation,SARS2
OXPHOS,SDHAF3
Metabolism,DGUOK
Mitochondrial central dogma,MTERF1
Translation,SLIRP
OXPHOS,SDHAF4
Metabolism,DHODH
Mitochondrial central dogma,MTERF2
Translation,TACO1
OXPHOS,SDHB
Metabolism,DHRS1
Mitochondrial central dogma,MTERF3
Translation,TARS2
OXPHOS,SDHC
Metabolism,DHRS2
Mitochondrial central dogma,MTERF4
Translation,TFB1M
OXPHOS,SDHD
Metabolism,DHRS4
Mitochondrial central dogma,MTFMT
Translation,TIMM21
OXPHOS,SMIM20
Metabolism,DHTKD1
Mitochondrial central dogma,MTG1
Translation,TRMT61B
OXPHOS,SURF1
Metabolism,DLAT
Mitochondrial central dogma,MTG2
Translation,TSFM
OXPHOS,TACO1
Metabolism,DLD
Mitochondrial central dogma,MTIF2
Translation,TUFM
OXPHOS,TIMM21
Metabolism,DLST
Mitochondrial central dogma,MTIF3
Translation,VARS2
OXPHOS,TIMMDC1
Metabolism,DMGDH
Mitochondrial central dogma,MTO1
Translation,WARS2
OXPHOS,TMEM126A
Metabolism,DNA2
Mitochondrial central dogma,MTPAP
Translation,YARS2
OXPHOS,TMEM126B
Metabolism,DTYMK
Mitochondrial central dogma,MTRES1
Translation,YBEY
OXPHOS,TMEM177
Metabolism,DUT
Mitochondrial central dogma,MTRF1
OXPHOS,TMEM186
Metabolism,ECH1
Mitochondrial central dogma,MTRF1L
OXPHOS,TMEM70
Metabolism,ECHDC1
Mitochondrial central dogma,MUTYH
OXPHOS,TTC19
Metabolism,ECHS1
Mitochondrial central dogma,MYG1
OXPHOS,UQCC1
Metabolism,ECI1
Mitochondrial central dogma,NARS2
OXPHOS,UQCC2
Metabolism,ECI2
Mitochondrial central dogma,NGRN
OXPHOS,UQCC3
Metabolism,EHHADH
Mitochondrial central dogma,NOA1
OXPHOS,UQCR10
Metabolism,EPHX2
Mitochondrial central dogma,NSUN2
OXPHOS,UQCR11
Metabolism,ETFA
Mitochondrial central dogma,NSUN3
OXPHOS,UQCRB
Metabolism,ETFB
Mitochondrial central dogma,NSUN4
OXPHOS,UQCRC1
Metabolism,ETFBKMT
Mitochondrial central dogma,OGG1
OXPHOS,UQCRC2
Metabolism,ETFDH
Mitochondrial central dogma,OSGEPL1
OXPHOS,UQCRFS1
Metabolism,ETFRF1
Mitochondrial central dogma,OXA1L
OXPHOS,UQCRH
Metabolism,ETHE1
Mitochondrial central dogma,PARS2
OXPHOS,UQCRQ
Metabolism,FABP1
Mitochondrial central dogma,PDE12
Metabolism,FAHD1
Mitochondrial central dogma,PDF
Metabolism,FAM210B
Mitochondrial central dogma,PIF1
Metabolism,FASN
Mitochondrial central dogma,PNPT1
Metabolism,FDPS
Mitochondrial central dogma,POLB
Metabolism,FDX1
Mitochondrial central dogma,POLDIP2
Metabolism,FDX2
Mitochondrial central dogma,POLG
Metabolism,FDXR
Mitochondrial central dogma,POLG2
Metabolism,FECH
Mitochondrial central dogma,POLQ
Metabolism,FH
Mitochondrial central dogma,POLRMT
Metabolism,FHIT
Mitochondrial central dogma,PPA2
Metabolism,FLAD1
Mitochondrial central dogma,PRIMPOL
Metabolism,FPGS
Mitochondrial central dogma,PRORP
Metabolism,FTH1
Mitochondrial central dogma,PTCD1
Metabolism,FTMT
Mitochondrial central dogma,PTCD2
Metabolism,FXN
Mitochondrial central dogma,PTCD3
Metabolism,GATM
Mitochondrial central dogma,PUS1
Metabolism,GCAT
Mitochondrial central dogma,PUSL1
Metabolism,GCDH
Mitochondrial central dogma,QRSL1
Metabolism,GCSH
Mitochondrial central dogma,QTRT1
Metabolism,GLDC
Mitochondrial central dogma,RARS2
Metabolism,GLRX2
Mitochondrial central dogma,RBFA
Metabolism,GLRX5
Mitochondrial central dogma,RCC1L
Metabolism,GLS
Mitochondrial central dogma,RECQL4
Metabolism,GLS2
Mitochondrial central dogma,REXO2
Metabolism,GLUD1
Mitochondrial central dogma,RMND1
Metabolism,GLUD2
Mitochondrial central dogma,RNASEH1
Metabolism,GLYAT
Mitochondrial central dogma,RPUSD3
Metabolism,GLYCTK
Mitochondrial central dogma,RPUSD4
Metabolism,GOT2
Mitochondrial central dogma,SARS2
Metabolism,GPAM
Mitochondrial central dogma,SLIRP
Metabolism,GPAT2
Mitochondrial central dogma,SSBP1
Metabolism,GPD2
Mitochondrial central dogma,SUPV3L1
Metabolism,GPT2
Mitochondrial central dogma,TACO1
Metabolism,GPX1
Mitochondrial central dogma,TARS2
Metabolism,GPX4
Mitochondrial central dogma,TBRG4
Metabolism,GRHPR
Mitochondrial central dogma,TEFM
Metabolism,GRPEL1
Mitochondrial central dogma,TFAM
Metabolism,GRPEL2
Mitochondrial central dogma,TFB1M
Metabolism,GSR
Mitochondrial central dogma,TFB2M
Metabolism,GSTK1
Mitochondrial central dogma,THG1L
Metabolism,GSTZ1
Mitochondrial central dogma,TIMM21
Metabolism,GTPBP3
Mitochondrial central dogma,TOP1MT
Metabolism,GUK1
Mitochondrial central dogma,TOP3A
Metabolism,HADH
Mitochondrial central dogma,TRIT1
Metabolism,HADHA
Mitochondrial central dogma,TRMT1
Metabolism,HADHB
Mitochondrial central dogma,TRMT10C
Metabolism,HAGH
Mitochondrial central dogma,TRMT2B
Metabolism,HAO2
Mitochondrial central dogma,TRMT5
Metabolism,HCCS
Mitochondrial central dogma,TRMT61B
Metabolism,HIBADH
Mitochondrial central dogma,TRMU
Metabolism,HIBCH
Mitochondrial central dogma,TRNT1
Metabolism,HINT1
